Model,Accuracy,Precision,Recall,F1-Score,F1-Macro,Balanced-Accuracy,ROC-AUC
Logistic Regression,0.5813953488372093,0.6756756756756757,0.8064516129032258,0.7352941176470589,0.36764705882352944,0.4032258064516129,0.5268817204301075
Decision Tree,0.7209302325581395,0.7209302325581395,1.0,0.8378378378378378,0.4189189189189189,0.5,0.3951612903225806
Random Forest,0.6744186046511628,0.7073170731707317,0.9354838709677419,0.8055555555555556,0.4027777777777778,0.46774193548387094,0.7043010752688171
SVM,0.627906976744186,0.6923076923076923,0.8709677419354839,0.7714285714285715,0.38571428571428573,0.43548387096774194,0.6075268817204301
KNN,0.7441860465116279,0.7380952380952381,1.0,0.8493150684931506,0.5015806111696522,0.5416666666666666,0.6276881720430109
Naive Bayes,0.6511627906976745,0.8636363636363636,0.6129032258064516,0.7169811320754716,0.6312178387650085,0.6814516129032258,0.6424731182795699
XGBoost,0.6976744186046512,0.725,0.9354838709677419,0.8169014084507042,0.4751173708920188,0.5094086021505376,0.5537634408602151
LightGBM,0.6511627906976745,0.7105263157894737,0.8709677419354839,0.782608695652174,0.4501278772378517,0.4771505376344086,0.6612903225806451
